WARNING:easyocr.easyocr:Using CPU. Note: This module is much faster with a GPU.
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1238.51 MB
INFO:root:[Frame Total] CPU Time: 0.2656 s, Memory: 1241.51 MB
INFO:root:[YOLO] CPU Time: 0.0781 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[Frame Total] CPU Time: 0.1094 s, Memory: 1254.22 MB
INFO:root:[YOLO] CPU Time: 0.1719 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[Frame Total] CPU Time: 0.1719 s, Memory: 1254.22 MB
INFO:root:[YOLO] CPU Time: 0.3438 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[Frame Total] CPU Time: 0.3750 s, Memory: 1254.22 MB
INFO:root:[YOLO] CPU Time: 0.1719 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[Frame Total] CPU Time: 0.1719 s, Memory: 1254.22 MB
INFO:root:[YOLO] CPU Time: 0.3125 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[Frame Total] CPU Time: 0.3281 s, Memory: 1254.22 MB
INFO:root:[YOLO] CPU Time: 0.2656 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1231.50 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1232.75 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1233.75 MB
INFO:root:[Frame Total] CPU Time: 0.2656 s, Memory: 1237.31 MB
INFO:root:[YOLO] CPU Time: 0.3438 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[Frame Total] CPU Time: 0.3438 s, Memory: 1254.22 MB
INFO:root:[YOLO] CPU Time: 0.0781 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[Frame Total] CPU Time: 0.0781 s, Memory: 1254.22 MB
INFO:root:[YOLO] CPU Time: 0.2344 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[Frame Total] CPU Time: 0.2344 s, Memory: 1254.22 MB
INFO:root:[YOLO] CPU Time: 0.1406 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[Frame Total] CPU Time: 0.1562 s, Memory: 1254.22 MB
