epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,1531.89,0.45855,0.32993,0.85368,0.35035,0.26972,0.23765,0.17558,2.06496,3.30714,2.48033,9.77524e-05,9.77524e-05,9.77524e-05
145,1542.96,0.46855,0.33172,0.86338,0.37879,0.27126,0.24893,0.18614,2.06752,3.27034,2.47189,9.47376e-05,9.47376e-05,9.47376e-05
146,1553.81,0.47077,0.32705,0.87101,0.38992,0.26997,0.24423,0.18512,2.07147,3.23372,2.49983,9.17616e-05,9.17616e-05,9.17616e-05
147,1563.47,0.47389,0.32976,0.86832,0.37453,0.26839,0.23988,0.18061,2.07389,3.27671,2.50388,8.88253e-05,8.88253e-05,8.88253e-05
148,1573.87,0.4643,0.32458,0.86257,0.3321,0.27668,0.22797,0.17349,2.06301,3.31604,2.48379,8.59294e-05,8.59294e-05,8.59294e-05
149,1584.69,0.45703,0.31848,0.86693,0.36286,0.2731,0.2371,0.18042,2.07275,3.24678,2.51249,8.30746e-05,8.30746e-05,8.30746e-05
150,1595.45,0.45117,0.31925,0.86407,0.39668,0.27018,0.25157,0.19121,2.05898,3.18485,2.50791,8.02616e-05,8.02616e-05,8.02616e-05
151,1606.12,0.4662,0.33132,0.87077,0.37022,0.27199,0.2387,0.17984,2.0678,3.23712,2.52412,7.74911e-05,7.74911e-05,7.74911e-05
152,1616.42,0.47164,0.33144,0.87225,0.34781,0.26661,0.22912,0.17209,2.06681,3.28184,2.50336,7.47637e-05,7.47637e-05,7.47637e-05
153,1626.33,0.46388,0.32673,0.86426,0.36846,0.26592,0.24417,0.1861,2.06831,3.24706,2.514,7.20803e-05,7.20803e-05,7.20803e-05
154,1637.35,0.47779,0.32597,0.86832,0.41468,0.26438,0.24664,0.19183,2.06653,3.24763,2.52369,6.94413e-05,6.94413e-05,6.94413e-05
155,1648.2,0.44874,0.31894,0.86041,0.40265,0.26574,0.24734,0.1929,2.06535,3.23064,2.52327,6.68475e-05,6.68475e-05,6.68475e-05
156,1658.97,0.45717,0.33697,0.86561,0.36919,0.26684,0.24176,0.18878,2.05769,3.26274,2.51844,6.42995e-05,6.42995e-05,6.42995e-05
